SYMB,MM/DD/YY,NAV
CUURS49DSA0,03/01/1922,15.7
CUURS49DSA0,12/01/1921,16.0
CUURS49DSA0,09/01/1921,16.3
CUURS49DSA0,05/01/1921,16.8
CUURS49DSA0,12/01/1920,17.9
CUURS49DSA0,06/01/1920,19.6
CUURS49DSA0,12/01/1919,18.2
CUURS49DSA0,06/01/1919,16.0
CUURS49DSA0,12/01/1918,15.4
CUURS49DSA0,12/01/1917,11.8
CUURS49DSA0,12/01/1916,9.7
CUURS49DSA0,12/01/1915,9.1
CUURS49DSA0,12/01/1914,9.2
CUUR0000SA0,12/01/1932,13.1
CUUR0000SA0,11/01/1932,13.2
CUUR0000SA0,10/01/1932,13.3
CUUR0000SA0,09/01/1932,13.4
CUUR0000SA0,08/01/1932,13.5
CUUR0000SA0,07/01/1932,13.6
CUUR0000SA0,06/01/1932,13.6
CUUR0000SA0,05/01/1932,13.7
CUUR0000SA0,04/01/1932,13.9
CUUR0000SA0,03/01/1932,14.0
CUUR0000SA0,02/01/1932,14.1
CUUR0000SA0,01/01/1932,14.3
CUUR0000SA0,12/01/1931,14.6
CUUR0000SA0,11/01/1931,14.7
CUUR0000SA0,10/01/1931,14.9
CUUR0000SA0,09/01/1931,15.0
CUUR0000SA0,08/01/1931,15.1
CUUR0000SA0,07/01/1931,15.1
CUUR0000SA0,06/01/1931,15.1
CUUR0000SA0,05/01/1931,15.3
CUUR0000SA0,04/01/1931,15.5
CUUR0000SA0,03/01/1931,15.6
CUUR0000SA0,02/01/1931,15.7
CUUR0000SA0,01/01/1931,15.9
CUUR0000SA0,12/01/1930,16.1
CUUR0000SA0,11/01/1930,16.4
CUUR0000SA0,10/01/1930,16.5
CUUR0000SA0,09/01/1930,16.6
CUUR0000SA0,08/01/1930,16.5
CUUR0000SA0,07/01/1930,16.6
CUUR0000SA0,06/01/1930,16.8
CUUR0000SA0,05/01/1930,16.9
CUUR0000SA0,04/01/1930,17.0
CUUR0000SA0,03/01/1930,16.9
CUUR0000SA0,02/01/1930,17.0
CUUR0000SA0,01/01/1930,17.1
CUUR0000SA0,12/01/1929,17.2
CUUR0000SA0,11/01/1929,17.3
CUUR0000SA0,10/01/1929,17.3
CUUR0000SA0,09/01/1929,17.3
CUUR0000SA0,08/01/1929,17.3
CUUR0000SA0,07/01/1929,17.3
CUUR0000SA0,06/01/1929,17.1
CUUR0000SA0,05/01/1929,17.0
CUUR0000SA0,04/01/1929,16.9
CUUR0000SA0,03/01/1929,17.0
CUUR0000SA0,02/01/1929,17.1
CUUR0000SA0,01/01/1929,17.1
CUUR0000SA0,12/01/1928,17.1
CUUR0000SA0,11/01/1928,17.2
CUUR0000SA0,10/01/1928,17.2
CUUR0000SA0,09/01/1928,17.3
CUUR0000SA0,08/01/1928,17.1
CUUR0000SA0,07/01/1928,17.1
CUUR0000SA0,06/01/1928,17.1
CUUR0000SA0,05/01/1928,17.2
CUUR0000SA0,04/01/1928,17.1
CUUR0000SA0,03/01/1928,17.1
CUUR0000SA0,02/01/1928,17.1
CUUR0000SA0,01/01/1928,17.3
CUUR0000SA0,12/01/1927,17.3
CUUR0000SA0,11/01/1927,17.3
CUUR0000SA0,10/01/1927,17.4
CUUR0000SA0,09/01/1927,17.3
CUUR0000SA0,08/01/1927,17.2
CUUR0000SA0,07/01/1927,17.3
CUUR0000SA0,06/01/1927,17.6
CUUR0000SA0,05/01/1927,17.4
CUUR0000SA0,04/01/1927,17.3
CUUR0000SA0,03/01/1927,17.3
CUUR0000SA0,02/01/1927,17.4
CUUR0000SA0,01/01/1927,17.5
CUUR0000SA0,12/01/1926,17.7
CUUR0000SA0,11/01/1926,17.7
CUUR0000SA0,10/01/1926,17.6
CUUR0000SA0,09/01/1926,17.5
CUUR0000SA0,08/01/1926,17.4
CUUR0000SA0,07/01/1926,17.5
CUUR0000SA0,06/01/1926,17.7
CUUR0000SA0,05/01/1926,17.8
CUUR0000SA0,04/01/1926,17.9
CUUR0000SA0,03/01/1926,17.8
CUUR0000SA0,02/01/1926,17.9
CUUR0000SA0,01/01/1926,17.9
CUUR0000SA0,12/01/1925,17.9
CUUR0000SA0,11/01/1925,18.0
CUUR0000SA0,10/01/1925,17.7
CUUR0000SA0,09/01/1925,17.7
CUUR0000SA0,08/01/1925,17.7
CUUR0000SA0,07/01/1925,17.7
CUUR0000SA0,06/01/1925,17.5
CUUR0000SA0,05/01/1925,17.3
CUUR0000SA0,04/01/1925,17.2
CUUR0000SA0,03/01/1925,17.3
CUUR0000SA0,02/01/1925,17.2
CUUR0000SA0,01/01/1925,17.3
CUUR0000SA0,12/01/1924,17.3
CUUR0000SA0,11/01/1924,17.2
CUUR0000SA0,10/01/1924,17.2
CUUR0000SA0,09/01/1924,17.1
CUUR0000SA0,08/01/1924,17.0
CUUR0000SA0,07/01/1924,17.1
CUUR0000SA0,06/01/1924,17.0
CUUR0000SA0,05/01/1924,17.0
CUUR0000SA0,04/01/1924,17.0
CUUR0000SA0,03/01/1924,17.1
CUUR0000SA0,02/01/1924,17.2
CUUR0000SA0,01/01/1924,17.3
CUUR0000SA0,12/01/1923,17.3
CUUR0000SA0,11/01/1923,17.3
CUUR0000SA0,10/01/1923,17.3
CUUR0000SA0,09/01/1923,17.2
CUUR0000SA0,08/01/1923,17.1
CUUR0000SA0,07/01/1923,17.2
CUUR0000SA0,06/01/1923,17.0
CUUR0000SA0,05/01/1923,16.9
CUUR0000SA0,04/01/1923,16.9
CUUR0000SA0,03/01/1923,16.8
CUUR0000SA0,02/01/1923,16.8
CUUR0000SA0,01/01/1923,16.8
CUUR0000AA0,12/01/1932,39.2
CUUR0000AA0,11/01/1932,39.6
CUUR0000AA0,10/01/1932,39.8
CUUR0000AA0,09/01/1932,40.1
CUUR0000AA0,08/01/1932,40.3
CUUR0000AA0,07/01/1932,40.8
CUUR0000AA0,06/01/1932,40.8
CUUR0000AA0,05/01/1932,41.1
CUUR0000AA0,04/01/1932,41.7
CUUR0000AA0,03/01/1932,42.0
CUUR0000AA0,02/01/1932,42.2
CUUR0000AA0,01/01/1932,42.8
CUUR0000AA0,12/01/1931,43.7
CUUR0000AA0,11/01/1931,44.1
CUUR0000AA0,10/01/1931,44.6
CUUR0000AA0,09/01/1931,44.9
CUUR0000AA0,08/01/1931,45.1
CUUR0000AA0,07/01/1931,45.2
CUUR0000AA0,06/01/1931,45.3
